SN,Commodity,Date,Unit,Minimum,Maximum,Average
46,Tamarind,2013-06-16,Kg,65.0,70.0,67.5
47,Bamboo Shoot,2013-06-16,Kg,50.0,60.0,55.0
48,Tofu,2013-06-16,Kg,55.0,60.0,57.5
49,Gundruk,2013-06-16,Kg,180.0,190.0,185.0
50,Apple(Jholey),2013-06-16,Kg,100.0,120.0,110.0
51,Banana,2013-06-16,Doz,70.0,80.0,75.0
52,Lime,2013-06-16,Kg,200.0,400.0,300.0
53,Pomegranate,2013-06-16,Kg,200.0,220.0,210.0
54,Mango(Maldah),2013-06-16,Kg,50.0,60.0,55.0
55,Grapes(Green),2013-06-16,Kg,250.0,260.0,255.0
56,Water Melon(Green),2013-06-16,Kg,15.0,18.0,16.5
57,Sweet Orange,2013-06-16,Kg,90.0,100.0,95.0
58,Pineapple,2013-06-16,1 Pc,60.0,70.0,65.0
59,Cucumber(Local),2013-06-16,Kg,25.0,30.0,27.5
60,Jack Fruit,2013-06-16,Kg,20.0,25.0,22.5
61,Papaya(Nepali),2013-06-16,Kg,60.0,70.0,65.0
62,Sugarcane,2013-06-16,1 Pc,50.0,60.0,55.0
63,Ginger,2013-06-16,Kg,140.0,150.0,145.0
64,Chilli Dry,2013-06-16,Kg,170.0,180.0,175.0
65,Chilli Green,2013-06-16,Kg,30.0,40.0,35.0
66,Capsicum,2013-06-16,Kg,55.0,60.0,57.5
67,Garlic Green,2013-06-16,Kg,45.0,50.0,47.5
68,Coriander Green,2013-06-16,Kg,90.0,110.0,100.0
69,Garlic Dry Chinese,2013-06-16,Kg,100.0,110.0,105.0
70,Garlic Dry Nepali,2013-06-16,Kg,50.0,60.0,55.0
71,Clive Dry,2013-06-16,Kg,70.0,80.0,75.0
72,Clive Green,2013-06-16,Kg,70.0,80.0,75.0
73,Fish Fresh,2013-06-16,Kg,210.0,220.0,215.0
74,Tomato Big(Nepali),2013-06-17,Kg,25.0,30.0,27.5
75,Tomato Small(Local),2013-06-17,Kg,20.0,25.0,22.5
76,Potato Red,2013-06-17,Kg,20.0,21.0,20.5
77,Potato White,2013-06-17,Kg,15.0,16.0,15.5
78,Onion Dry (Indian),2013-06-17,Kg,29.0,30.0,29.5
79,Carrot(Local),2013-06-17,Kg,35.0,40.0,37.5
80,Cabbage(Local),2013-06-17,Kg,6.0,10.0,8.0
81,Cauli Local,2013-06-17,Kg,25.0,30.0,27.5
82,Raddish Red,2013-06-17,Kg,35.0,40.0,37.5
83,Raddish White(Local),2013-06-17,Kg,30.0,35.0,32.5
84,Brinjal Long,2013-06-17,Kg,18.0,20.0,19.0
85,Brinjal Round,2013-06-17,Kg,25.0,30.0,27.5
86,Cow pea(Long),2013-06-17,Kg,20.0,25.0,22.5
87,Green Peas,2013-06-17,Kg,55.0,60.0,57.5
88,French Bean(Local),2013-06-17,Kg,30.0,35.0,32.5
89,Soyabean Green,2013-06-17,Kg,55.0,60.0,57.5
90,Bitter Gourd,2013-06-17,Kg,16.0,20.0,18.0
91,Bottle Gourd,2013-06-17,Kg,18.0,20.0,19.0
92,Pointed Gourd(Local),2013-06-17,Kg,30.0,35.0,32.5
93,Snake Gourd,2013-06-17,Kg,30.0,35.0,32.5
94,Smooth Gourd,2013-06-17,Kg,15.0,20.0,17.5
95,Sponge Gourd,2013-06-17,Kg,45.0,50.0,47.5
96,Pumpkin,2013-06-17,Kg,18.0,20.0,19.0
97,Squash(Long),2013-06-17,Kg,20.0,25.0,22.5
98,Okara,2013-06-17,Kg,18.0,22.0,20.0
99,Christophine,2013-06-17,Kg,35.0,40.0,37.5
100,Brd Leaf Mustard,2013-06-17,Kg,40.0,45.0,42.5
101,Spinach Leaf,2013-06-17,Kg,45.0,50.0,47.5
102,Cress Leaf,2013-06-17,Kg,40.0,45.0,42.5
103,Mustard Leaf,2013-06-17,Kg,35.0,40.0,37.5
104,Fenugreek Leaf,2013-06-17,Kg,40.0,45.0,42.5
105,Onion Green,2013-06-17,Kg,40.0,45.0,42.5
106,Mushroom(Kanya),2013-06-17,Kg,180.0,200.0,190.0
107,Asparagus,2013-06-17,Kg,100.0,150.0,125.0
108,Neuro,2013-06-17,Kg,50.0,60.0,55.0
109,Brocauli,2013-06-17,Kg,70.0,80.0,75.0
110,Sugarbeet,2013-06-17,Kg,35.0,40.0,37.5
111,Drumstick,2013-06-17,Kg,45.0,50.0,47.5
112,Red Cabbbage,2013-06-17,Kg,60.0,70.0,65.0
113,Lettuce,2013-06-17,Kg,45.0,50.0,47.5
114,Celery,2013-06-17,Kg,120.0,130.0,125.0
115,Parseley,2013-06-17,Kg,180.0,190.0,185.0
116,Fennel Leaf,2013-06-17,Kg,40.0,45.0,42.5
117,Mint,2013-06-17,Kg,120.0,130.0,125.0
118,Turnip A,2013-06-17,Kg,45.0,50.0,47.5
119,Tamarind,2013-06-17,Kg,65.0,70.0,67.5
120,Bamboo Shoot,2013-06-17,Kg,50.0,60.0,55.0
121,Tofu,2013-06-17,Kg,55.0,60.0,57.5
122,Gundruk,2013-06-17,Kg,190.0,200.0,195.0
123,Apple(Jholey),2013-06-17,Kg,110.0,130.0,120.0
124,Banana,2013-06-17,Doz,70.0,80.0,75.0
125,Lime,2013-06-17,Kg,200.0,400.0,300.0
126,Pomegranate,2013-06-17,Kg,200.0,220.0,210.0
127,Mango(Maldah),2013-06-17,Kg,50.0,60.0,55.0
128,Grapes(Green),2013-06-17,Kg,250.0,260.0,255.0
129,Water Melon(Green),2013-06-17,Kg,14.0,16.0,15.0
130,Sweet Orange,2013-06-17,Kg,90.0,100.0,95.0
131,Pineapple,2013-06-17,1 Pc,60.0,70.0,65.0
132,Cucumber(Local),2013-06-17,Kg,25.0,30.0,27.5
133,Jack Fruit,2013-06-17,Kg,20.0,25.0,22.5
134,Papaya(Nepali),2013-06-17,Kg,60.0,70.0,65.0
135,Sugarcane,2013-06-17,1 Pc,60.0,70.0,65.0
136,Ginger,2013-06-17,Kg,140.0,150.0,145.0
137,Chilli Dry,2013-06-17,Kg,170.0,180.0,175.0
138,Chilli Green,2013-06-17,Kg,30.0,40.0,35.0
139,Capsicum,2013-06-17,Kg,55.0,60.0,57.5
140,Garlic Green,2013-06-17,Kg,45.0,50.0,47.5
141,Coriander Green,2013-06-17,Kg,90.0,100.0,95.0
142,Garlic Dry Chinese,2013-06-17,Kg,100.0,110.0,105.0
143,Garlic Dry Nepali,2013-06-17,Kg,50.0,60.0,55.0
144,Clive Dry,2013-06-17,Kg,70.0,80.0,75.0
145,Clive Green,2013-06-17,Kg,50.0,60.0,55.0
146,Fish Fresh,2013-06-17,Kg,210.0,220.0,215.0
147,Tomato Big(Nepali),2013-06-18,Kg,25.0,30.0,27.5
148,Tomato Small(Local),2013-06-18,Kg,22.0,26.0,24.0
149,Potato Red,2013-06-18,Kg,19.0,20.0,19.5
150,Potato White,2013-06-18,Kg,15.0,16.0,15.5
151,Onion Dry (Indian),2013-06-18,Kg,33.0,35.0,34.0
152,Carrot(Local),2013-06-18,Kg,35.0,40.0,37.5
153,Cabbage(Local),2013-06-18,Kg,8.0,10.0,9.0
154,Cauli Local,2013-06-18,Kg,25.0,30.0,27.5
155,Raddish Red,2013-06-18,Kg,35.0,40.0,37.5
156,Raddish White(Local),2013-06-18,Kg,30.0,35.0,32.5
157,Brinjal Long,2013-06-18,Kg,20.0,25.0,22.5
158,Brinjal Round,2013-06-18,Kg,25.0,30.0,27.5
159,Cow pea(Long),2013-06-18,Kg,25.0,30.0,27.5
160,Green Peas,2013-06-18,Kg,55.0,60.0,57.5
161,French Bean(Local),2013-06-18,Kg,30.0,35.0,32.5
162,Soyabean Green,2013-06-18,Kg,55.0,60.0,57.5
163,Bitter Gourd,2013-06-18,Kg,16.0,22.0,19.0
164,Bottle Gourd,2013-06-18,Kg,22.0,24.0,23.0
165,Pointed Gourd(Local),2013-06-18,Kg,30.0,35.0,32.5
166,Snake Gourd,2013-06-18,Kg,30.0,35.0,32.5
167,Smooth Gourd,2013-06-18,Kg,20.0,25.0,22.5
168,Pumpkin,2013-06-18,Kg,18.0,20.0,19.0
169,Squash(Long),2013-06-18,Kg,18.0,20.0,19.0
170,Turnip,2013-06-18,Kg,45.0,50.0,47.5
171,Okara,2013-06-18,Kg,20.0,25.0,22.5
172,Christophine,2013-06-18,Kg,40.0,45.0,42.5
173,Brd Leaf Mustard,2013-06-18,Kg,40.0,45.0,42.5
174,Spinach Leaf,2013-06-18,Kg,45.0,50.0,47.5
175,Cress Leaf,2013-06-18,Kg,45.0,50.0,47.5
176,Mustard Leaf,2013-06-18,Kg,35.0,40.0,37.5
177,Fenugreek Leaf,2013-06-18,Kg,40.0,45.0,42.5
178,Onion Green,2013-06-18,Kg,35.0,40.0,37.5
179,Mushroom(Kanya),2013-06-18,Kg,180.0,200.0,190.0
180,Asparagus,2013-06-18,Kg,100.0,120.0,110.0
181,Neuro,2013-06-18,Kg,50.0,60.0,55.0
182,Brocauli,2013-06-18,Kg,70.0,80.0,75.0
183,Sugarbeet,2013-06-18,Kg,35.0,40.0,37.5
184,Drumstick,2013-06-18,Kg,35.0,40.0,37.5
185,Red Cabbbage,2013-06-18,Kg,50.0,60.0,55.0
186,Lettuce,2013-06-18,Kg,35.0,40.0,37.5
187,Celery,2013-06-18,Kg,120.0,130.0,125.0
188,Parseley,2013-06-18,Kg,180.0,200.0,190.0
189,Fennel Leaf,2013-06-18,Kg,40.0,45.0,42.5
190,Mint,2013-06-18,Kg,120.0,130.0,125.0
191,Turnip A,2013-06-18,Kg,45.0,50.0,47.5
192,Tamarind,2013-06-18,Kg,65.0,70.0,67.5
193,Bamboo Shoot,2013-06-18,Kg,50.0,60.0,55.0
194,Tofu,2013-06-18,Kg,55.0,60.0,57.5
195,Gundruk,2013-06-18,Kg,180.0,190.0,185.0
196,Apple(Jholey),2013-06-18,Kg,110.0,120.0,115.0
197,Banana,2013-06-18,Doz,70.0,80.0,75.0
198,Lime,2013-06-18,Kg,200.0,400.0,300.0
199,Pomegranate,2013-06-18,Kg,200.0,220.0,210.0
200,Mango(Maldah),2013-06-18,Kg,50.0,60.0,55.0
201,Grapes(Green),2013-06-18,Kg,250.0,260.0,255.0
202,Water Melon(Green),2013-06-18,Kg,12.0,15.0,13.5
203,Sweet Orange,2013-06-18,Kg,90.0,100.0,95.0
204,Pineapple,2013-06-18,1 Pc,60.0,70.0,65.0
205,Cucumber(Local),2013-06-18,Kg,25.0,30.0,27.5
206,Jack Fruit,2013-06-18,Kg,20.0,25.0,22.5
207,Papaya(Nepali),2013-06-18,Kg,55.0,60.0,57.5
208,Sugarcane,2013-06-18,1 Pc,50.0,60.0,55.0
209,Ginger,2013-06-18,Kg,140.0,150.0,145.0
210,Chilli Dry,2013-06-18,Kg,170.0,180.0,175.0
211,Chilli Green,2013-06-18,Kg,35.0,40.0,37.5
212,Capsicum,2013-06-18,Kg,55.0,60.0,57.5
213,Garlic Green,2013-06-18,Kg,45.0,50.0,47.5
214,Coriander Green,2013-06-18,Kg,90.0,100.0,95.0
215,Garlic Dry Chinese,2013-06-18,Kg,100.0,110.0,105.0
216,Garlic Dry Nepali,2013-06-18,Kg,50.0,60.0,55.0
217,Clive Dry,2013-06-18,Kg,70.0,80.0,75.0
218,Clive Green,2013-06-18,Kg,50.0,60.0,55.0
219,Fish Fresh,2013-06-18,Kg,210.0,220.0,215.0
220,Tomato Big(Nepali),2013-06-19,Kg,25.0,30.0,27.5
221,Tomato Small(Local),2013-06-19,Kg,24.0,28.0,26.0
222,Potato Red,2013-06-19,Kg,20.0,21.0,20.5
223,Potato White,2013-06-19,Kg,15.0,16.0,15.5
224,Onion Dry (Indian),2013-06-19,Kg,34.0,35.0,34.5
225,Carrot(Local),2013-06-19,Kg,38.0,42.0,40.0
226,Cabbage(Local),2013-06-19,Kg,10.0,15.0,12.5
227,Cauli Local,2013-06-19,Kg,25.0,30.0,27.5
228,Raddish Red,2013-06-19,Kg,35.0,40.0,37.5
229,Raddish White(Local),2013-06-19,Kg,30.0,35.0,32.5
230,Brinjal Long,2013-06-19,Kg,22.0,26.0,24.0
231,Brinjal Round,2013-06-19,Kg,25.0,30.0,27.5
232,Cow pea(Long),2013-06-19,Kg,25.0,30.0,27.5
233,Green Peas,2013-06-19,Kg,55.0,60.0,57.5
234,French Bean(Local),2013-06-19,Kg,30.0,35.0,32.5
235,Soyabean Green,2013-06-19,Kg,55.0,60.0,57.5
236,Bitter Gourd,2013-06-19,Kg,20.0,25.0,22.5
237,Bottle Gourd,2013-06-19,Kg,18.0,20.0,19.0
238,Pointed Gourd(Local),2013-06-19,Kg,30.0,35.0,32.5
239,Snake Gourd,2013-06-19,Kg,25.0,30.0,27.5
240,Smooth Gourd,2013-06-19,Kg,20.0,25.0,22.5
241,Sponge Gourd,2013-06-19,Kg,40.0,45.0,42.5
242,Pumpkin,2013-06-19,Kg,18.0,20.0,19.0
243,Squash(Long),2013-06-19,Kg,15.0,20.0,17.5
244,Turnip,2013-06-19,Kg,45.0,50.0,47.5
245,Okara,2013-06-19,Kg,35.0,40.0,37.5
246,Christophine,2013-06-19,Kg,35.0,40.0,37.5
247,Brd Leaf Mustard,2013-06-19,Kg,40.0,45.0,42.5
248,Spinach Leaf,2013-06-19,Kg,40.0,45.0,42.5
249,Cress Leaf,2013-06-19,Kg,40.0,45.0,42.5
250,Mustard Leaf,2013-06-19,Kg,35.0,40.0,37.5
251,Fenugreek Leaf,2013-06-19,Kg,40.0,45.0,42.5
252,Onion Green,2013-06-19,Kg,40.0,45.0,42.5
253,Mushroom(Kanya),2013-06-19,Kg,180.0,200.0,190.0
254,Asparagus,2013-06-19,Kg,100.0,125.0,112.5
255,Neuro,2013-06-19,Kg,40.0,50.0,45.0
256,Brocauli,2013-06-19,Kg,70.0,80.0,75.0
257,Sugarbeet,2013-06-19,Kg,45.0,50.0,47.5
258,Red Cabbbage,2013-06-19,Kg,70.0,80.0,75.0
259,Lettuce,2013-06-19,Kg,55.0,60.0,57.5
260,Celery,2013-06-19,Kg,120.0,130.0,125.0
261,Parseley,2013-06-19,Kg,180.0,190.0,185.0
262,Fennel Leaf,2013-06-19,Kg,45.0,50.0,47.5
263,Mint,2013-06-19,Kg,120.0,130.0,125.0
264,Turnip A,2013-06-19,Kg,45.0,50.0,47.5
265,Tamarind,2013-06-19,Kg,65.0,70.0,67.5
266,Bamboo Shoot,2013-06-19,Kg,50.0,60.0,55.0
267,Tofu,2013-06-19,Kg,55.0,60.0,57.5
268,Gundruk,2013-06-19,Kg,180.0,190.0,185.0
269,Apple(Jholey),2013-06-19,Kg,110.0,120.0,115.0
270,Banana,2013-06-19,Doz,70.0,80.0,75.0
271,Lime,2013-06-19,Kg,200.0,400.0,300.0
272,Pomegranate,2013-06-19,Kg,200.0,220.0,210.0
273,Mango(Maldah),2013-06-19,Kg,50.0,60.0,55.0
274,Grapes(Green),2013-06-19,Kg,250.0,260.0,255.0
275,Water Melon(Green),2013-06-19,Kg,14.0,16.0,15.0
276,Sweet Orange,2013-06-19,Kg,90.0,100.0,95.0
277,Pineapple,2013-06-19,1 Pc,70.0,80.0,75.0
278,Cucumber(Local),2013-06-19,Kg,30.0,35.0,32.5
279,Jack Fruit,2013-06-19,Kg,20.0,25.0,22.5
280,Papaya(Nepali),2013-06-19,Kg,60.0,65.0,62.5
281,Sugarcane,2013-06-19,1 Pc,50.0,60.0,55.0
282,Ginger,2013-06-19,Kg,140.0,150.0,145.0
283,Chilli Dry,2013-06-19,Kg,170.0,180.0,175.0
284,Chilli Green,2013-06-19,Kg,35.0,40.0,37.5
285,Capsicum,2013-06-19,Kg,55.0,60.0,57.5
286,Garlic Green,2013-06-19,Kg,45.0,50.0,47.5
287,Coriander Green,2013-06-19,Kg,90.0,100.0,95.0
288,Garlic Dry Chinese,2013-06-19,Kg,100.0,110.0,105.0
289,Garlic Dry Nepali,2013-06-19,Kg,50.0,60.0,55.0
290,Clive Dry,2013-06-19,Kg,70.0,80.0,75.0
291,Clive Green,2013-06-19,Kg,50.0,60.0,55.0
292,Fish Fresh,2013-06-19,Kg,210.0,220.0,215.0
293,Tomato Big(Nepali),2013-06-20,Kg,25.0,30.0,27.5
294,Tomato Small(Local),2013-06-20,Kg,22.0,26.0,24.0
295,Potato Red,2013-06-20,Kg,20.0,21.0,20.5
296,Potato White,2013-06-20,Kg,15.0,16.0,15.5
297,Onion Dry (Indian),2013-06-20,Kg,35.0,36.0,35.5
298,Carrot(Local),2013-06-20,Kg,40.0,42.0,41.0
299,Cabbage(Local),2013-06-20,Kg,10.0,15.0,12.5
300,Cauli Local,2013-06-20,Kg,20.0,25.0,22.5
301,Raddish Red,2013-06-20,Kg,35.0,40.0,37.5
302,Raddish White(Local),2013-06-20,Kg,28.0,32.0,30.0
303,Brinjal Long,2013-06-20,Kg,20.0,25.0,22.5
304,Brinjal Round,2013-06-20,Kg,25.0,30.0,27.5
305,Cow pea(Long),2013-06-20,Kg,30.0,35.0,32.5
306,Green Peas,2013-06-20,Kg,55.0,60.0,57.5
307,French Bean(Local),2013-06-20,Kg,30.0,40.0,35.0
308,Soyabean Green,2013-06-20,Kg,50.0,55.0,52.5
309,Bitter Gourd,2013-06-20,Kg,20.0,25.0,22.5
310,Bottle Gourd,2013-06-20,Kg,20.0,25.0,22.5
311,Pointed Gourd(Local),2013-06-20,Kg,30.0,35.0,32.5
312,Snake Gourd,2013-06-20,Kg,30.0,35.0,32.5
313,Smooth Gourd,2013-06-20,Kg,20.0,25.0,22.5
314,Sponge Gourd,2013-06-20,Kg,45.0,50.0,47.5
315,Pumpkin,2013-06-20,Kg,18.0,20.0,19.0
316,Squash(Long),2013-06-20,Kg,15.0,20.0,17.5
317,Turnip,2013-06-20,Kg,40.0,45.0,42.5
318,Okara,2013-06-20,Kg,35.0,40.0,37.5
319,Christophine,2013-06-20,Kg,35.0,40.0,37.5
320,Brd Leaf Mustard,2013-06-20,Kg,40.0,45.0,42.5
321,Spinach Leaf,2013-06-20,Kg,45.0,50.0,47.5
322,Cress Leaf,2013-06-20,Kg,45.0,50.0,47.5
323,Mustard Leaf,2013-06-20,Kg,35.0,40.0,37.5
324,Fenugreek Leaf,2013-06-20,Kg,45.0,50.0,47.5
325,Onion Green,2013-06-20,Kg,35.0,40.0,37.5
326,Mushroom(Kanya),2013-06-20,Kg,200.0,220.0,210.0
327,Asparagus,2013-06-20,Kg,100.0,120.0,110.0
328,Neuro,2013-06-20,Kg,50.0,60.0,55.0
329,Brocauli,2013-06-20,Kg,70.0,80.0,75.0
330,Sugarbeet,2013-06-20,Kg,35.0,40.0,37.5
331,Drumstick,2013-06-20,Kg,45.0,50.0,47.5
332,Red Cabbbage,2013-06-20,Kg,70.0,80.0,75.0
333,Lettuce,2013-06-20,Kg,45.0,50.0,47.5
334,Celery,2013-06-20,Kg,120.0,130.0,125.0
335,Parseley,2013-06-20,Kg,170.0,180.0,175.0
336,Fennel Leaf,2013-06-20,Kg,45.0,50.0,47.5
337,Mint,2013-06-20,Kg,120.0,130.0,125.0
338,Turnip A,2013-06-20,Kg,50.0,60.0,55.0
339,Tamarind,2013-06-20,Kg,65.0,70.0,67.5
340,Bamboo Shoot,2013-06-20,Kg,50.0,60.0,55.0
341,Tofu,2013-06-20,Kg,55.0,60.0,57.5
342,Gundruk,2013-06-20,Kg,180.0,190.0,185.0
343,Apple(Jholey),2013-06-20,Kg,110.0,120.0,115.0
344,Banana,2013-06-20,Doz,70.0,80.0,75.0
345,Lime,2013-06-20,Kg,200.0,400.0,300.0
346,Pomegranate,2013-06-20,Kg,190.0,200.0,195.0
347,Mango(Maldah),2013-06-20,Kg,50.0,60.0,55.0
348,Grapes(Green),2013-06-20,Kg,250.0,260.0,255.0
349,Water Melon(Green),2013-06-20,Kg,14.0,16.0,15.0
350,Sweet Orange,2013-06-20,Kg,90.0,100.0,95.0
351,Pineapple,2013-06-20,1 Pc,60.0,70.0,65.0
352,Cucumber(Local),2013-06-20,Kg,30.0,35.0,32.5
353,Jack Fruit,2013-06-20,Kg,20.0,25.0,22.5
354,Papaya(Nepali),2013-06-20,Kg,55.0,55.0,55.0
355,Sugarcane,2013-06-20,1 Pc,50.0,60.0,55.0
356,Ginger,2013-06-20,Kg,140.0,150.0,145.0
357,Chilli Dry,2013-06-20,Kg,170.0,180.0,175.0
358,Chilli Green,2013-06-20,Kg,40.0,50.0,45.0
359,Capsicum,2013-06-20,Kg,50.0,55.0,52.5
360,Garlic Green,2013-06-20,Kg,40.0,45.0,42.5
361,Coriander Green,2013-06-20,Kg,50.0,60.0,55.0
362,Garlic Dry Chinese,2013-06-20,Kg,100.0,110.0,105.0
363,Garlic Dry Nepali,2013-06-20,Kg,50.0,60.0,55.0
364,Clive Dry,2013-06-20,Kg,70.0,80.0,75.0
365,Clive Green,2013-06-20,Kg,70.0,80.0,75.0
366,Fish Fresh,2013-06-20,Kg,210.0,220.0,215.0
367,Tomato Big(Nepali),2013-06-21,Kg,25.0,30.0,27.5
368,Tomato Small(Local),2013-06-21,Kg,15.0,20.0,17.5
369,Potato Red,2013-06-21,Kg,21.0,22.0,21.5
370,Potato White,2013-06-21,Kg,16.0,17.0,16.5
371,Onion Dry (Indian),2013-06-21,Kg,34.0,35.0,34.5
372,Carrot(Local),2013-06-21,Kg,40.0,45.0,42.5
373,Cabbage(Local),2013-06-21,Kg,8.0,12.0,10.0
374,Cauli Local,2013-06-21,Kg,20.0,24.0,22.0
375,Raddish Red,2013-06-21,Kg,35.0,40.0,37.5
376,Raddish White(Local),2013-06-21,Kg,25.0,30.0,27.5
377,Brinjal Long,2013-06-21,Kg,18.0,22.0,20.0
378,Brinjal Round,2013-06-21,Kg,25.0,30.0,27.5
379,Cow pea(Long),2013-06-21,Kg,30.0,35.0,32.5
380,Green Peas,2013-06-21,Kg,55.0,60.0,57.5
381,French Bean(Local),2013-06-21,Kg,35.0,40.0,37.5
382,Soyabean Green,2013-06-21,Kg,55.0,60.0,57.5
383,Bitter Gourd,2013-06-21,Kg,18.0,22.0,20.0
384,Bottle Gourd,2013-06-21,Kg,20.0,22.0,21.0
385,Pointed Gourd(Local),2013-06-21,Kg,30.0,35.0,32.5
386,Snake Gourd,2013-06-21,Kg,35.0,40.0,37.5
387,Smooth Gourd,2013-06-21,Kg,18.0,22.0,20.0
388,Sponge Gourd,2013-06-21,Kg,45.0,50.0,47.5
389,Pumpkin,2013-06-21,Kg,18.0,20.0,19.0
390,Squash(Long),2013-06-21,Kg,18.0,20.0,19.0
391,Turnip,2013-06-21,Kg,45.0,50.0,47.5
392,Okara,2013-06-21,Kg,45.0,55.0,50.0
393,Christophine,2013-06-21,Kg,35.0,40.0,37.5
394,Brd Leaf Mustard,2013-06-21,Kg,45.0,50.0,47.5
395,Spinach Leaf,2013-06-21,Kg,45.0,50.0,47.5
396,Cress Leaf,2013-06-21,Kg,45.0,50.0,47.5
397,Mustard Leaf,2013-06-21,Kg,35.0,40.0,37.5
398,Fenugreek Leaf,2013-06-21,Kg,45.0,50.0,47.5
399,Onion Green,2013-06-21,Kg,35.0,40.0,37.5
400,Mushroom(Kanya),2013-06-21,Kg,180.0,200.0,190.0
401,Asparagus,2013-06-21,Kg,100.0,120.0,110.0
402,Neuro,2013-06-21,Kg,50.0,60.0,55.0
403,Brocauli,2013-06-21,Kg,70.0,80.0,75.0
404,Sugarbeet,2013-06-21,Kg,35.0,40.0,37.5
405,Drumstick,2013-06-21,Kg,45.0,50.0,47.5
406,Red Cabbbage,2013-06-21,Kg,70.0,80.0,75.0
407,Lettuce,2013-06-21,Kg,40.0,45.0,42.5
408,Celery,2013-06-21,Kg,120.0,130.0,125.0
409,Parseley,2013-06-21,Kg,180.0,190.0,185.0
410,Fennel Leaf,2013-06-21,Kg,45.0,50.0,47.5
411,Mint,2013-06-21,Kg,120.0,130.0,125.0
412,Turnip A,2013-06-21,Kg,45.0,50.0,47.5
413,Tamarind,2013-06-21,Kg,65.0,70.0,67.5
414,Bamboo Shoot,2013-06-21,Kg,50.0,60.0,55.0
415,Tofu,2013-06-21,Kg,55.0,60.0,57.5
416,Gundruk,2013-06-21,Kg,180.0,190.0,185.0
417,Apple(Jholey),2013-06-21,Kg,110.0,120.0,115.0
418,Banana,2013-06-21,Doz,70.0,80.0,75.0
419,Lime,2013-06-21,Kg,200.0,400.0,300.0
420,Pomegranate,2013-06-21,Kg,200.0,210.0,205.0
421,Mango(Maldah),2013-06-21,Kg,40.0,50.0,45.0
422,Grapes(Green),2013-06-21,Kg,250.0,260.0,255.0
423,Water Melon(Green),2013-06-21,Kg,16.0,18.0,17.0
424,Sweet Orange,2013-06-21,Kg,90.0,100.0,95.0
425,Pineapple,2013-06-21,1 Pc,60.0,70.0,65.0
